date,pneumonia symptoms_unscaled,pneumonia symptoms_monthly,isPartial,scale,pneumonia symptoms
2009-01-01,38,39.0,False,0.39,14.82
2009-01-02,40,39.0,,0.39,15.600000000000001
2009-01-03,35,39.0,,0.39,13.65
2009-01-04,67,39.0,,0.39,26.130000000000003
2009-01-05,100,39.0,,0.39,39.0
2009-01-06,79,39.0,,0.39,30.810000000000002
2009-01-07,52,39.0,,0.39,20.28
2009-01-08,65,39.0,,0.39,25.35
2009-01-09,67,39.0,,0.39,26.130000000000003
2009-01-10,48,39.0,,0.39,18.72
2009-01-11,66,39.0,,0.39,25.740000000000002
2009-01-12,50,39.0,,0.39,19.5
2009-01-13,58,39.0,,0.39,22.62
2009-01-14,64,39.0,,0.39,24.96
2009-01-15,62,39.0,,0.39,24.18
2009-01-16,52,39.0,,0.39,20.28
2009-01-17,60,39.0,,0.39,23.400000000000002
2009-01-18,31,39.0,,0.39,12.09
2009-01-19,65,39.0,,0.39,25.35
2009-01-20,26,39.0,,0.39,10.14
2009-01-21,67,39.0,,0.39,26.130000000000003
2009-01-22,38,39.0,,0.39,14.82
2009-01-23,66,39.0,,0.39,25.740000000000002
2009-01-24,25,39.0,,0.39,9.75
2009-01-25,81,39.0,,0.39,31.59
2009-01-26,54,39.0,,0.39,21.060000000000002
2009-01-27,53,39.0,,0.39,20.67
2009-01-28,59,39.0,,0.39,23.01
2009-01-29,69,39.0,,0.39,26.91
2009-01-30,69,39.0,,0.39,26.91
2009-01-31,54,39.0,,0.39,21.060000000000002
2009-02-01,60,48.0,False,0.48,28.799999999999997
2009-02-02,68,48.0,,0.48,32.64
2009-02-03,36,48.0,,0.48,17.28
2009-02-04,62,48.0,,0.48,29.759999999999998
2009-02-05,97,48.0,,0.48,46.559999999999995
2009-02-06,81,48.0,,0.48,38.879999999999995
2009-02-07,86,48.0,,0.48,41.28
2009-02-08,43,48.0,,0.48,20.64
2009-02-09,62,48.0,,0.48,29.759999999999998
2009-02-10,64,48.0,,0.48,30.72
2009-02-11,77,48.0,,0.48,36.96
2009-02-12,72,48.0,,0.48,34.56
2009-02-13,72,48.0,,0.48,34.56
2009-02-14,87,48.0,,0.48,41.76
2009-02-15,50,48.0,,0.48,24.0
2009-02-16,100,48.0,,0.48,48.0
2009-02-17,86,48.0,,0.48,41.28
2009-02-18,88,48.0,,0.48,42.239999999999995
2009-02-19,76,48.0,,0.48,36.48
2009-02-20,39,48.0,,0.48,18.72
